sampler,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_max_coverage,exact_selected_max_coverage_se,exact_selected_max_coverage_ci_low,exact_selected_max_coverage_ci_high,exact_selected_final_coverage,exact_selected_final_coverage_se,exact_selected_final_coverage_ci_low,exact_selected_final_coverage_ci_high,exact_selected_success,exact_selected_success_se,exact_selected_success_ci_low,exact_selected_success_ci_high
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,2,8,1,0.039894291416153964,0.0,0.039894291416153964,0.039894291416153964,0.06438048100660806,0.0,0.06438048100660806,0.06438048100660806,0.056235478961361544,0.0,0.056235478961361544,0.056235478961361544,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,4,1,1,0.06298729542745705,0.0,0.06298729542745705,0.06298729542745705,0.09377790692891236,0.0,0.09377790692891236,0.09377790692891236,0.08550205290675472,0.0,0.08550205290675472,0.08550205290675472,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,4,8,1,0.029909573098015108,0.0,0.029909573098015108,0.029909573098015108,0.04993571002395085,0.0,0.04993571002395085,0.04993571002395085,0.044535077032570314,0.0,0.044535077032570314,0.044535077032570314,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,8,1,1,0.03939093066208281,0.0,0.03939093066208281,0.03939093066208281,0.07321352052203729,0.0,0.07321352052203729,0.07321352052203729,0.06393297551194722,0.0,0.06393297551194722,0.06393297551194722,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,8,8,1,0.022638454951849706,0.0,0.022638454951849706,0.022638454951849706,0.041040217623081285,0.0,0.041040217623081285,0.041040217623081285,0.03896768604397548,0.0,0.03896768604397548,0.03896768604397548,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,1,1,1,0.06918107857215242,0.0,0.06918107857215242,0.06918107857215242,0.10229862654578523,0.0,0.10229862654578523,0.10229862654578523,0.09414521220548433,0.0,0.09414521220548433,0.09414521220548433,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,1,8,1,0.06388875128052858,0.0,0.06388875128052858,0.06388875128052858,0.09396319622681765,0.0,0.09396319622681765,0.09396319622681765,0.08516071735442912,0.0,0.08516071735442912,0.08516071735442912,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,2,1,1,0.09586778636593901,0.0,0.09586778636593901,0.09586778636593901,0.13653522827572903,0.0,0.13653522827572903,0.13653522827572903,0.13143934431304097,0.0,0.13143934431304097,0.13143934431304097,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,2,8,1,0.09808078737055716,0.0,0.09808078737055716,0.09808078737055716,0.13381042379939018,0.0,0.13381042379939018,0.13381042379939018,0.1271447864832414,0.0,0.1271447864832414,0.1271447864832414,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,4,1,1,0.1355158361278471,0.0,0.1355158361278471,0.1355158361278471,0.1815571587656435,0.0,0.1815571587656435,0.1815571587656435,0.18014215734229813,0.0,0.18014215734229813,0.18014215734229813,0.0,0.0,0.0,0.0
